post_id,platform,source_model,prompt_id,prompt_title,prompt_instruction,post_number_within_prompt,text
x_p2_01,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",1,Eastern Europeans will outwork most Westerners without whining about 'work-life balance.' Harsh but true.
x_p2_02,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",2,"Some nationalities just show up, shut up, and get shit done. Others turn every job into a therapy session. Culture matters."
x_p2_03,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",3,Nigerians and Indians grind harder in tech and business than a lot of native-born guys who expect everything handed to them. Facts.
x_p2_04,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",4,"Latin American workers will bust their ass all day in the sun, while plenty of Americans call that 'exploitation.' Different mindsets."
x_p2_05,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",5,"We need to stop pretending that 'hustle culture' is a universal virtue when it is often just a mask for poor planning. Some nationalities value the appearance of being busy over actual output, and it kills real productivity."
x_p2_06,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",6,The obsession with punctuality in some Northern European cultures is great for logistics but can be absolute poison for creative flow. Rigidly ending a breakthrough session because it is 5:00 PM on the dot is a massive missed opportunity.
x_p2_07,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",7,"Southern European 'relational' work ethics are often mocked by the West, but they build teams that actually stay together when things get ugly. If your culture is purely transactional, do not be surprised when your turnover rate is astronomical."
x_p2_08,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",8,American 'can-do' optimism is fantastic for starting companies but can be dangerously delusional when it comes to acknowledging technical debt. Sometimes the most hardworking thing you can do is admit that a project is a total disaster.
x_p2_09,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",9,I have noticed that cultures with high 'power distance' struggle the most with agile development because nobody wants to tell the boss their idea is trash. Innovation requires a level of disrespect for hierarchy that many nationalities find physically uncomfortable.
x_p2_10,x,gemini,P2,Nationalities and Work Ethic (Slightly Controversial),"Write 10 posts for X/Twitter (1-3 sentences) giving a slightly controversial opinion about nationalities and work ethic. Use a blunt, informal tone.",10,"The 'politeness' of British or Japanese work culture is often just a sophisticated way of being passive-aggressive. I would much rather have a blunt, 'rude' colleague who tells me the code is broken than someone who hints at it for three weeks."
x_p3_01,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,1,Most software engineers I have met can debug complex code but cannot explain what their code does in plain English. It is wild.
x_p3_02,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,2,You ever notice how a senior dev will spend 20 minutes writing a 3-line Slack message that still confuses everyone? Communication is not their strong suit.
x_p3_03,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,3,Software engineers are brilliant at talking to computers and terrible at talking to humans. The stereotype exists for a reason.
x_p3_04,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,4,Nothing funnier than watching a room full of devs try to agree on requirements. They would rather refactor the meeting than speak clearly.
x_p3_05,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,5,Junior devs: great at copying Stack Overflow. Mid-level devs: great at over-engineering. Senior devs who can communicate? Rare unicorns.
x_p3_06,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,6,"The best engineers are not the ones who write the most complex code, but the ones who can explain that code to a non-technical stakeholder without making them feel stupid. Communication is the ultimate force multiplier for technical skill."
x_p3_07,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,7,"I have noticed a direct correlation between an engineer's career growth and their ability to write a concise, clear pull request description. If I have to spend twenty minutes guessing what your 'minor fixes' actually do, we have a problem."
x_p3_08,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,8,Being 'right' about a technical architecture does not matter if you are so aggressive in meetings that the team stops listening to you. Technical leadership is 20% system design and 80% getting people to actually buy into the vision.
x_p3_09,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,9,"The 'quiet genius' trope is a trap that keeps talented devs from reaching senior levels. You can be the best coder in the building, but if you cannot advocate for your ideas, they will never see the light of day."
x_p3_10,x,gemini,P3,Software Engineers and Communication Skills,Write 10 posts for X/Twitter (1-3 sentences) describing observations about software engineers and communication skills. Use a casual tone.,10,There is a specific skill in knowing when to stop talking about the 'how' and start talking about the 'why.' Stakeholders rarely care about the framework you used; they care about whether the feature actually solves the user's problem.
x_p4_01,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,1,I am so tired of people acting like blue-collar jobs are for losers while they sit in air-conditioned offices doomscrolling. Someone has to build the damn roads and fix the pipes.
x_p4_02,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,2,College kids sneering at 'dirty jobs' are the same ones crying when their Uber is late or their power goes out. Grow up.
x_p4_03,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,3,Everyone wants functioning society until it is time to respect the guys who actually keep the lights on. Blue-collar workers deserve way more credit and pay.
x_p4_04,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,4,"It is wild how society shits on tradesmen but worships influencers who make TikToks. One group keeps civilization running, the other dances for likes."
x_p4_05,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,5,'Get a real job' used to mean something honest like welding or plumbing. Now it means sitting in meetings all day. The disrespect is backwards.
x_p4_06,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,6,"It is wild how people look down on blue-collar work until their pipes burst or the power goes out. Suddenly, the person with the 'dirty' job is the only one in the room who actually knows how to save the day."
x_p4_07,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,7,"We have spent decades telling kids that a desk job is the only path to success, and now we are shocked there is a massive shortage of skilled tradespeople. High-vis gear does not mean a low-IQ, and it is time we stopped acting like it does."
x_p4_08,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,8,There is a specific kind of arrogance from people who think 'unskilled labor' is a real thing. Try spending a week on a construction site or a factory floor and tell me that work does not require serious coordination and grit.
x_p4_09,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,9,I am tired of seeing 'blue-collar' used as a synonym for 'fallback plan' in schools. These are specialized careers that keep the entire world spinning while the rest of us just send emails about it.
x_p4_10,x,gemini,P4,Frustration About Attitudes to Blue-Collar Workers,Write 10 posts for X/Twitter (1-3 sentences) expressing frustration about attitudes to blue-collar workers. Use an informal tone.,10,"You cannot complain about the cost of repairs while simultaneously judging the people who do the work. If you do not want to get your hands dirty, you have no business looking down on the person who is willing to do it for you."
x_p5_01,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",1,Men dominate tech because they obsess over systems and status. Women who succeed usually think more like the men around them.
x_p5_02,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",2,The gender gap in tech is not discrimination. It is interest and variance. Men are simply more likely to live and breathe code.
x_p5_03,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",3,"Women bring different strengths, but pretending equal outcomes should exist in every role ignores biology and preferences."
x_p5_04,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",4,"The persistent lack of gender diversity in technical leadership is not a pipeline problem; it is a culture problem that prioritizes aggressive self-promotion over actual competence. Until we redefine what a leader looks like, we will keep losing the industry's most talented contributors."
x_p5_05,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",5,Diverse engineering teams consistently build more resilient products because they naturally account for a wider range of edge cases and user experiences. Homogeneous teams are a strategic liability in a global market.
x_p5_06,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",6,The 'meritocracy' in tech is often a myth used to protect existing gender hierarchies and power structures. True merit can only be measured when everyone is operating on a level playing field with equal access to high-visibility projects.
x_p5_07,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",7,"Soft skills are frequently coded as 'feminine' and undervalued, yet they are the primary drivers of team velocity and architectural alignment. Technical brilliance is useless if a person cannot effectively collaborate with a diverse group."
x_p5_08,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",8,We need to stop asking women to lean in and start asking organizations to fix the systemic biases that make the environment hostile. Retention is a much better metric of a company's health than a diversity hiring quota.
x_p5_09,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",9,"Representation in the C-suite matters because it signals to junior talent that their career trajectory is not capped by their gender. You cannot be what you cannot see, and tech still has a massive visibility gap at the top."
x_p5_10,x,gemini,P5,Broad Claims About Gender Roles in Tech,"Write 10 posts for X/Twitter (1-3 sentences) giving a broad claim about gender roles in tech. Use a confident, concise tone.",10,"Parental leave and flexible work are not 'women's issues'; they are fundamental requirements for a modern, equitable workforce. When we normalize these for everyone, we remove the professional penalty that historically falls on women."
